nk,pr,sk,vn,pz
0,0.000000,0.000000,0.004761,0.004761
0,0.000000,0.000000,0.009521,0.004761
0,0.000000,0.000000,0.014282,0.004761
0,0.000000,0.000000,0.019043,0.004761
0,0.000000,0.000000,0.023804,0.004761
0,0.000000,0.000000,0.028564,0.004761
0,0.000000,0.000000,0.033325,0.004761
39,0.000149,0.000149,0.038086,0.004761
202,0.000771,0.000919,0.042847,0.004761
209,0.000797,0.001717,0.047607,0.004761
175,0.000668,0.002384,0.052368,0.004761
237,0.000904,0.003288,0.057129,0.004761
401,0.001530,0.004818,0.061890,0.004761
561,0.002140,0.006958,0.066650,0.004761
505,0.001926,0.008884,0.071411,0.004761
521,0.001987,0.010872,0.076172,0.004761
786,0.002998,0.013870,0.080933,0.004761
1080,0.004120,0.017990,0.085693,0.004761
1476,0.005630,0.023621,0.090454,0.004761
1988,0.007584,0.031204,0.095215,0.004761
2189,0.008350,0.039555,0.099976,0.004761
2662,0.010155,0.049709,0.104736,0.004761
3367,0.012844,0.062553,0.109497,0.004761
3961,0.015110,0.077663,0.114258,0.004761
4873,0.018589,0.096252,0.119019,0.004761
5141,0.019611,0.115864,0.123779,0.004761
4589,0.017506,0.133369,0.128540,0.004761
4168,0.015900,0.149269,0.133301,0.004761
3938,0.015022,0.164291,0.138062,0.004761
3968,0.015137,0.179428,0.142822,0.004761
3713,0.014164,0.193592,0.147583,0.004761
3518,0.013420,0.207012,0.152344,0.004761
3596,0.013718,0.220730,0.157104,0.004761
3770,0.014381,0.235111,0.161865,0.004761
3884,0.014816,0.249928,0.166626,0.004761
3810,0.014534,0.264462,0.171387,0.004761
3832,0.014618,0.279079,0.176147,0.004761
3381,0.012897,0.291977,0.180908,0.004761
3268,0.012466,0.304443,0.185669,0.004761
3182,0.012138,0.316582,0.190430,0.004761
3097,0.011814,0.328396,0.195190,0.004761
3063,0.011684,0.340080,0.199951,0.004761
2989,0.011402,0.351482,0.204712,0.004761
2906,0.011086,0.362568,0.209473,0.004761
2970,0.011330,0.373898,0.214233,0.004761
2822,0.010765,0.384663,0.218994,0.004761
2921,0.011143,0.395805,0.223755,0.004761
2995,0.011425,0.407230,0.228516,0.004761
2791,0.010647,0.417877,0.233276,0.004761
2705,0.010319,0.428196,0.238037,0.004761
2708,0.010330,0.438526,0.242798,0.004761
2669,0.010181,0.448708,0.247559,0.004761
2701,0.010303,0.459011,0.252319,0.004761
2539,0.009686,0.468697,0.257080,0.004761
2543,0.009701,0.478397,0.261841,0.004761
2725,0.010395,0.488792,0.266602,0.004761
2540,0.009689,0.498482,0.271362,0.004761
2557,0.009754,0.508236,0.276123,0.004761
2474,0.009438,0.517673,0.280884,0.004761
2305,0.008793,0.526466,0.285645,0.004761
2106,0.008034,0.534500,0.290405,0.004761
2040,0.007782,0.542282,0.295166,0.004761
1919,0.007320,0.549603,0.299927,0.004761
1869,0.007130,0.556732,0.304688,0.004761
1797,0.006855,0.563587,0.307739,0.003052
1778,0.006783,0.570370,0.310791,0.003052
1781,0.006794,0.577164,0.313843,0.003052
1661,0.006336,0.583500,0.316895,0.003052
1708,0.006516,0.590015,0.319946,0.003052
1693,0.006458,0.596474,0.322998,0.003052
1612,0.006149,0.602623,0.326050,0.003052
1448,0.005524,0.608147,0.329102,0.003052
1381,0.005268,0.613415,0.332153,0.003052
1354,0.005165,0.618580,0.335205,0.003052
1277,0.004871,0.623451,0.338257,0.003052
1279,0.004879,0.628330,0.341309,0.003052
1230,0.004692,0.633022,0.344360,0.003052
1107,0.004223,0.637245,0.347412,0.003052
1081,0.004124,0.641369,0.350464,0.003052
1062,0.004051,0.645420,0.353516,0.003052
1150,0.004387,0.649807,0.356567,0.003052
1042,0.003975,0.653782,0.359619,0.003052
985,0.003757,0.657539,0.362671,0.003052
983,0.003750,0.661289,0.365723,0.003052
907,0.003460,0.664749,0.368774,0.003052
941,0.003590,0.668339,0.371826,0.003052
958,0.003654,0.671993,0.374878,0.003052
904,0.003448,0.675442,0.377930,0.003052
884,0.003372,0.678814,0.380981,0.003052
906,0.003456,0.682270,0.384033,0.003052
914,0.003487,0.685757,0.387085,0.003052
892,0.003403,0.689159,0.390137,0.003052
870,0.003319,0.692478,0.393188,0.003052
865,0.003300,0.695778,0.396240,0.003052
848,0.003235,0.699013,0.399292,0.003052
817,0.003117,0.702129,0.402344,0.003052
829,0.003162,0.705292,0.405396,0.003052
784,0.002991,0.708282,0.408447,0.003052
763,0.002911,0.711193,0.411499,0.003052
765,0.002918,0.714111,0.414551,0.003052
806,0.003075,0.717186,0.417603,0.003052
779,0.002972,0.720158,0.420654,0.003052
811,0.003094,0.723251,0.423706,0.003052
793,0.003025,0.726276,0.426758,0.003052
793,0.003025,0.729301,0.429810,0.003052
840,0.003204,0.732506,0.432861,0.003052
820,0.003128,0.735634,0.435913,0.003052
789,0.003010,0.738644,0.438965,0.003052
784,0.002991,0.741634,0.442017,0.003052
792,0.003021,0.744656,0.445068,0.003052
812,0.003098,0.747753,0.448120,0.003052
837,0.003193,0.750946,0.451172,0.003052
767,0.002926,0.753872,0.454224,0.003052
754,0.002876,0.756748,0.457275,0.003052
736,0.002808,0.759556,0.460327,0.003052
684,0.002609,0.762165,0.463379,0.003052
668,0.002548,0.764713,0.466431,0.003052
692,0.002640,0.767353,0.469482,0.003052
699,0.002666,0.770020,0.472534,0.003052
710,0.002708,0.772728,0.475586,0.003052
684,0.002609,0.775337,0.478638,0.003052
647,0.002468,0.777805,0.481689,0.003052
677,0.002583,0.780388,0.484741,0.003052
